Real,Imag
-0.999999999995E-5,+0.00000000000
+0.999999999997E-5,-0.318309886079
-0.999999999997E-5,+0.159154942882
+0.999999999996E-5,-0.106103295080
-0.999999999998E-5,+0.795774711271E-1
+0.999999999995E-5,-0.636619767132E-1
-0.999999999999E-5,+0.530516470690E-1
+0.999999999996E-5,-0.454728401504E-1
-0.999999999994E-5,+0.397887349352E-1
+0.999999999995E-5,-0.353677641891E-1
-0.999999999996E-5,+0.318309875712E-1
+0.100000000001E-4,-0.289372612284E-1
-0.999999999995E-5,+0.265258225920E-1
+0.999999999988E-5,-0.244853744989E-1
-0.999999999995E-5,+0.227364189756E-1
+0.100000000000E-4,-0.212206575081E-1
-0.999999999997E-5,+0.198943662110E-1
+0.999999999993E-5,-0.187241091718E-1
-0.999999999995E-5,+0.176838806808E-1
+0.999999999997E-5,-0.167531499147E-1
-0.999999999995E-5,+0.159154922148E-1
+0.999999999990E-5,-0.151576114287E-1
-0.100000000001E-4,+0.144686288863E-1
+0.100000000000E-4,-0.138395578603E-1
-0.999999999997E-5,+0.132629094111E-1
+0.999999999988E-5,-0.127323928294E-1
-0.999999999986E-5,+0.122426852074E-1
+0.100000000000E-4,-0.117892522164E-1
-0.999999999996E-5,+0.113682072887E-1
+0.999999999993E-5,-0.109761999350E-1
-0.100000000000E-4,+0.106103263979E-1
+0.100000000000E-4,-0.102680575983E-1
-0.999999999996E-5,+0.994718059221E-2
+0.999999999990E-5,-0.964575067103E-2
-0.999999999991E-5,+0.936205191552E-2
+0.999999999996E-5,-0.909456451149E-2
-0.999999999996E-5,+0.884193751297E-2
+0.999999999992E-5,-0.860296602223E-2
-0.100000000000E-4,+0.837657197285E-2
+0.100000000000E-4,-0.816178786936E-2
-0.100000000000E-4,+0.795774296580E-2
+0.100000000000E-4,-0.776365146707E-2
-0.999999999995E-5,+0.757880241567E-2
+0.999999999998E-5,-0.740255098970E-2
-0.100000000000E-4,+0.723431098742E-2
+0.999999999995E-5,-0.707354831392E-2
-0.100000000000E-4,+0.691977531732E-2
+0.999999999989E-5,-0.677254584804E-2
-0.999999999998E-5,+0.663145093561E-2
+0.100000000001E-4,-0.649611499493E-2
-0.999999999990E-5,+0.636619248769E-2
+0.999999999996E-5,-0.624136497662E-2
-0.999999999986E-5,+0.612133851964E-2
+0.999999999990E-5,-0.600584135898E-2
-0.100000000000E-4,+0.589462186705E-2
+0.999999999988E-5,-0.578744671648E-2
-0.999999999995E-5,+0.568409924612E-2
+0.999999999999E-5,-0.558437799911E-2
-0.999999999994E-5,+0.548809541218E-2
+0.999999999999E-5,-0.539507663821E-2
-0.100000000000E-4,+0.530515848654E-2
+0.999999999991E-5,-0.521818846757E-2
-0.100000000000E-4,+0.513402392969E-2
+0.999999999988E-5,-0.505253127859E-2
-0.999999999991E-5,+0.497358526956E-2
+0.100000000000E-4,-0.489706836527E-2
-0.999999999993E-5,+0.482287015188E-2
+0.100000000000E-4,-0.475088680741E-2
-0.999999999988E-5,+0.468102061705E-2
+0.999999999994E-5,-0.461317953062E-2
-0.999999999999E-5,+0.454727675795E-2
+0.999999999992E-5,-0.448323039847E-2
-0.999999999996E-5,+0.442096310162E-2
+0.100000000000E-4,-0.436040175523E-2
-0.999999999992E-5,+0.430147719916E-2
+0.999999999996E-5,-0.424412396180E-2
-0.999999999998E-5,+0.418828001740E-2
+0.999999999995E-5,-0.413388656234E-2
-0.100000000000E-4,+0.408088780857E-2
+0.999999999992E-5,-0.402923079275E-2
-0.999999999996E-5,+0.397886519971E-2
+0.100000000001E-4,-0.392974319898E-2
-0.100000000000E-4,+0.388181929327E-2
+0.999999999986E-5,-0.383505017794E-2
-0.999999999990E-5,+0.378939461049E-2
+0.999999999995E-5,-0.374481328921E-2
-0.999999999996E-5,+0.370126874042E-2
+0.100000000000E-4,-0.365872521333E-2
-0.100000000001E-4,+0.361714858220E-2
+0.999999999990E-5,-0.357650625504E-2
-0.999999999991E-5,+0.353676708837E-2
+0.999999999998E-5,-0.349790130768E-2
-0.100000000000E-4,+0.345988043299E-2
+0.100000000000E-4,-0.342267720927E-2
-0.999999999989E-5,+0.338626554127E-2
+0.999999999991E-5,-0.335062043250E-2
-0.999999999995E-5,+0.331571792798E-2
+0.999999999992E-5,-0.328153506057E-2
-0.100000000000E-4,+0.324804980056E-2
+0.999999999988E-5,-0.321524100833E-2
-0.999999999992E-5,+0.318308838986E-2
+0.999999999995E-5,-0.315157245482E-2
-0.999999999997E-5,+0.312067447724E-2
+0.100000000000E-4,-0.309037645836E-2
-0.999999999988E-5,+0.306066109167E-2
+0.999999999991E-5,-0.303151172998E-2
-0.999999999995E-5,+0.300291235426E-2
+0.999999999999E-5,-0.297484754436E-2
-0.100000000000E-4,+0.294730245122E-2
+0.100000000000E-4,-0.292026277071E-2
-0.999999999989E-5,+0.289371471885E-2
+0.999999999994E-5,-0.286764500838E-2
-0.999999999995E-5,+0.284204082659E-2
+0.999999999998E-5,-0.281688981430E-2
-0.100000000000E-4,+0.279218004601E-2
+0.999999999989E-5,-0.276790001099E-2
-0.999999999993E-5,+0.274403859546E-2
+0.999999999993E-5,-0.272058506559E-2
-0.999999999998E-5,+0.269752905139E-2
+0.100000000000E-4,-0.267486053148E-2
-0.100000000000E-4,+0.265256981848E-2
+0.999999999991E-5,-0.263064754529E-2
-0.999999999994E-5,+0.260908465191E-2
+0.999999999997E-5,-0.258787237298E-2
-0.100000000000E-4,+0.256700222590E-2
+0.100000000000E-4,-0.254646599949E-2
-0.999999999990E-5,+0.252625574326E-2
+0.999999999993E-5,-0.250636375714E-2
-0.999999999995E-5,+0.248678258167E-2
+0.999999999998E-5,-0.246750498869E-2
-0.100000000000E-4,+0.244852397245E-2
+0.999999999990E-5,-0.242983274111E-2
-0.999999999993E-5,+0.241142470867E-2
+0.999999999995E-5,-0.239329348717E-2
-0.999999999997E-5,+0.237543287936E-2
+0.100000000000E-4,-0.235783687158E-2
-0.999999999989E-5,+0.234049962709E-2
+0.999999999991E-5,-0.232341547953E-2
-0.999999999995E-5,+0.230657892680E-2
+0.999999999997E-5,-0.228998462511E-2
-0.999999999998E-5,+0.227362738339E-2
+0.100000000000E-4,-0.225750215778E-2
-0.999999999991E-5,+0.224160404656E-2
+0.999999999992E-5,-0.222592828508E-2
-0.999999999995E-5,+0.221047024106E-2
+0.999999999997E-5,-0.219522540999E-2
-0.100000000000E-4,+0.218018941078E-2
+0.999999999990E-5,-0.216535798157E-2
-0.999999999993E-5,+0.215072697567E-2
+0.999999999994E-5,-0.213629235770E-2
-0.999999999998E-5,+0.212205019991E-2
+0.999999999998E-5,-0.210799667858E-2
-0.100000000000E-4,+0.209412807062E-2
+0.999999999991E-5,-0.208044075030E-2
-0.999999999994E-5,+0.206693118601E-2
+0.999999999996E-5,-0.205359593734E-2
-0.999999999997E-5,+0.204043165205E-2
+0.100000000000E-4,-0.202743506333E-2
-0.999999999991E-5,+0.201460298706E-2
+0.999999999994E-5,-0.200193231924E-2
-0.999999999996E-5,+0.198942003346E-2
+0.999999999997E-5,-0.197706317850E-2
-0.100000000000E-4,+0.196485887601E-2
+0.100000000000E-4,-0.195280431828E-2
-0.100000000000E-4,+0.194089676607E-2
+0.100000000001E-4,-0.192913354657E-2
-0.999999999985E-5,+0.191751205133E-2
+0.999999999987E-5,-0.190602973443E-2
-0.999999999989E-5,+0.189468411052E-2
+0.999999999993E-5,-0.188347275312E-2
-0.999999999997E-5,+0.187239329281E-2
+0.999999999998E-5,-0.186144341560E-2
-0.999999999999E-5,+0.185062086133E-2
+0.100000000000E-4,-0.183992342208E-2
-0.100000000000E-4,+0.182934894070E-2
+0.100000000000E-4,-0.181889530934E-2
-0.100000000001E-4,+0.180856046806E-2
+0.999999999988E-5,-0.179834240346E-2
-0.999999999989E-5,+0.178823914739E-2
+0.999999999991E-5,-0.177824877570E-2
-0.999999999995E-5,+0.176836940698E-2
+0.999999999997E-5,-0.175859920139E-2
-0.999999999996E-5,+0.174893635956E-2
+0.999999999999E-5,-0.173937912140E-2
-0.100000000000E-4,+0.172992576513E-2
+0.100000000000E-4,-0.172057460617E-2
-0.100000000000E-4,+0.171132399619E-2
+0.999999999987E-5,-0.170217232209E-2
-0.999999999989E-5,+0.169311800511E-2
+0.999999999989E-5,-0.168415949990E-2
-0.999999999992E-5,+0.167529529364E-2
+0.999999999994E-5,-0.166652390520E-2
-0.999999999998E-5,+0.165784388430E-2
+0.999999999997E-5,-0.164925381072E-2
-0.100000000000E-4,+0.164075229351E-2
+0.100000000000E-4,-0.163233797028E-2
-0.100000000000E-4,+0.162400950643E-2
+0.100000000001E-4,-0.161576559444E-2
-0.999999999987E-5,+0.160760495323E-2
+0.999999999990E-5,-0.159952632747E-2
-0.999999999991E-5,+0.159152848691E-2
+0.999999999978E-5,-0.158361022582E-2
-0.999999999995E-5,+0.157577036231E-2
+0.999999999996E-5,-0.156800773781E-2
-0.999999999998E-5,+0.156032121644E-2
+0.999999999999E-5,-0.155270968451E-2
-0.100000000000E-4,+0.154517204992E-2
+0.100000000000E-4,-0.153770724171E-2
-0.999999999985E-5,+0.153031420950E-2
+0.999999999989E-5,-0.152299192300E-2
-0.999999999991E-5,+0.151573937157E-2
+0.999999999991E-5,-0.150855556371E-2
-0.999999999994E-5,+0.150143952663E-2
