Amplitude,Phase
-0.999999999992E-5,+0.00000000000
+0.636619772472,+0.314159265359E-4
+0.318309886393,-1.57073349494
+0.212206591103,-3.14149840581
+0.159154943511,+1.57092199050
+0.127323954997,+0.157079632679E-3
+0.106103296023,-1.57060783124
+0.909456824998E-1,-3.14137274210
+0.795774723837E-1,+1.57104765421
+0.707355312055E-1,+0.282743338822E-3
+0.636619782840E-1,-1.57048216753
+0.578745259126E-1,-3.14124707840
+0.530516489539E-1,+1.57117331791
+0.489707530819E-1,+0.408407044962E-3
+0.454728423495E-1,-1.57035650382
+0.424413197286E-1,-3.14112141469
+0.397887374485E-1,+1.57129898162
+0.374482236842E-1,+0.534070751106E-3
+0.353677670165E-1,-1.57023084012
+0.335063057985E-1,-3.14099575099
+0.318309907128E-1,+1.57142464533
